"compound","sentence1","sentence2","sentence3"
"máquina virtual","sent1: (['# MWETOOLKIT: meta.doc.id=""netn-dc0d0""', '# MWETOOLKIT: meta.doc.title=""Como instalar o Windows 8 em uma máquina virtual [vídeo] - TecMundo""', '# MWETOOLKIT: meta.doc.source=""http://www.tecmundo.com.br/13346-como-instalar-o-windows-8-em-uma-maquina-virtual.htm""'], 41)","Os bytecodes são interpretados pela máquina virtual Java .","Para não deixar a máquina virtual muito lenta , é aconselhado utilizar metade da memória disponível ."
"mar aberto","Alcançada a ponta de Santo Antonio , saíram a mar aberto .","Ele condena a turma a nadar em mar aberto .","As espécies de mar aberto têm por princípio a natação contínua ."
"maré alta","Em dias de maré alta , delas é possível apreciar as ondas que parecem invadir o ambiente .","Seu volume também o condiciona a uma oscilação muito maior de suas águas quando dos intervalos entre maré alta a maré baixa .","Em certas áreas litorâneas , como algumas ilhas do Pacífico , isso significou um avanço de 100 metros na maré alta ."
"maré baixa","O adolescente perdeu a vida por meio de um mergulho na maré baixa .","Apresenta grandes raízes aéreas que ficam expostas durante a maré baixa .","Possui águas agitadas e mornas formando piscinas naturais na maré baixa ."
"massa cinzenta","Estudos mostram aumento de massa cinzenta e branca em cérebros de adultos mais velhos .","E perceberam um aumento na massa cinzenta daqueles que praticavam esportes .","Uma das áreas que não nascem prontas é a parte superior da massa cinzenta , composta pelo neocórtex ."
"mau contato","Vi que o fio do seu carregador está com mau contato .","Os aparelhos podem pegar fogo se submetidos a mau contato ou curto circuito .","Verificar se há aquecimento nos fios ou mau contato , que causam fuga de energia ."
"mau-humor","Mau-humor , preguiça , desânimo .","Afaste de mim todo mau-humor e amargura .","Seriedade não é cara feia e mau-humor ."
"mau-olhado","Esquecer o olho grande e o mau-olhado em volta .","Protege dos maus espíritos e do mau-olhado .","Ela é também usada como amuleto para proteger do mau-olhado ."
"mercado negro","Proliferou o mercado negro e incentivou - se o processo inflacionário .","sent2: (['# MWETOOLKIT: meta.doc.id=""net-23f864""', '# MWETOOLKIT: meta.doc.title=""Prestando Prova: - Artigos""', '# MWETOOLKIT: meta.doc.source=""http://prestandoprova.blogspot.com.br/search/label/-%20Artigos""'], 138)","As atividades do mercado negro exigem o cometimento de outros crimes ."
"mesa-redonda","Uma mesa-redonda diferente , mais dinâmica e com convidados especiais .","Em seguida haverá mesa-redonda , palestras e debates com o secretário de direitos humanos Fernando Matos .","Capacitação gratuita diversas palestras , mesas-redondas e conversas com especialistas estão sendo preparadas ."
"montanha-russa","Cada montanha-russa é mais emocionante do que a outra !","As crianças deliciavam - se durante tardes inteiras , com seu brinquedo favorito : uma montanha-russa em forma de dinossauro !","As montanhas-russas também são um dos atrativos de este parque ."
"navio negreiro","Acredita - se que tenham vindo da África em navios negreiros .","sent2: (['# MWETOOLKIT: meta.doc.id=""netb-26b267""', '# MWETOOLKIT: meta.doc.title=""Damasnegras - Portal Geledés""', '# MWETOOLKIT: meta.doc.source=""http://www.geledes.org.br/afrobrasileiros-e-suas-lutas/damas-negras.html""'], 19)","Esta lei permitia aos navios britânicos apreender navios negreiros que cruzassem o Atlântico ."
"nó cego","Há muitos nós cegos que têm de ser desatados e não podem ser abruptamente cortados em pedaços .","A minha tese é a de que o pragmatismo político do ex - presidente lula colocou a quase totalidade dos partidos brasileiros em uma sacola e deu um nó cego .","sent3: (['# MWETOOLKIT: meta.doc.id=""net-dc1b3""', '# MWETOOLKIT: meta.doc.title=""desenvolturas&desacatos.: Setembro 2012""', '# MWETOOLKIT: meta.doc.source=""http://desenvolturasedesacatos.blogspot.com.br/2012_09_01_archive.html""'], 47)"
"novo mundo","sent1: (['# MWETOOLKIT: meta.doc.id=""net-1c02a3""', '# MWETOOLKIT: meta.doc.title=""maraoluar: reflecções""', '# MWETOOLKIT: meta.doc.source=""http://maraoluar.blogspot.com.br/search/label/reflec%C3%A7%C3%B5es""'], 47)","O ensino fundamental é um novo mundo .","Comece a construir este novo mundo em seu coração ."
"novo-rico","Os novos-ricos precisam despejar dinheiro , pois não têm tradição .","Perdemos a humildade e ganhámos a ganância dos novos-ricos .","Os novos-ricos , emergentes , ex - pobres , escolhem religiões novas , recém - fundadas ."
"núcleo atômico","As forças nucleares mantém os núcleos ( protons e neutrons ) unidos no núcleo atômico .","É proibido manipular núcleos atómicos , assim como realizar fissão e fusão nuclear .","sent3: (['# MWETOOLKIT: meta.doc.id=""netb-2e2c30""', '# MWETOOLKIT: meta.doc.title=""Radia��o, Tipos, Ionizante,Raios, Energia, Danos, Consequ�ncias Radia��o""', '# MWETOOLKIT: meta.doc.source=""http://www.portalsaofrancisco.com.br/alfa/meio-ambiente-energia-nuclear/radiacao.php""'], 137)"
"olho gordo","Eles também querem ser amados e terem amigos sinceros sem olho gordo em suas fortunas materiais .","O nome turco do amuleto que protege contra o mau olhado e olho gordo é Nazar Boncuk .","Eles são usados para espantar o mau olhado , ou o "" olho gordo "" , como alguns preferem dizer ."
"olho mágico","Espero você tocar a campainha olhando o escuro pelo olho mágico .","Quem atendeu a porta fui eu , ao ver o rosto do zelador no olho mágico .","Dificulte a ação dos infratores , se possível instale grades nas janelas , olho mágico e trancas nas portas"
"olho nu","Ilusionismo : pode gerar imagens imperceptíveis ao olho nu .","Escondidas no interior do metal , ficam invisíveis ao olho nu .","Ele acha que as mulheres sempre estão reclamando , mesmo com prosperidade a olhos nus ."
"ônibus executivo","Viagens em ônibus executivos estão orçadas em R$ 60 .","Uma solução interessante são as "" lotações "" , que é como eles chamam os ônibus executivos .","Tem ônibus executivo , táxi , carona de amigo a questão é o quanto você quer , ou pode , gastar ."
"ovelha negra","Ele sempre foi o que você poderia chamar de ovelha negra da família .","Já Eduardo Cunha deve sair do processo como a ovelha negra do partido .","É claro que ela era a ovelha negra da família , muito diferente de todos os demais ."
"pão-duro","Era um pão-duro , um avarento .","O pão-duro quer que seu cão seja tratado de graça .","Mas o pão-duro não consegue pagar e recebe uma carta de cobrança ."
"papel higiênico","Forneciam sabonete , toalha e papel higiênico .","Coloque assentos nos vasos - sanitários , sabonete líquido , papel toalha individual e papel higiênico nos sanitários masculino e feminino dos alunos .","Pegue um pedaço de papel toalha ou papel higiênico , embeba em álcool e passe sobre a placa ; vá passando o papel até que não saia mais fuligem ."
"paraíso fiscal","Como se os seus donos tivessem embolsado os ganhos e mandado para algum paraíso fiscal .","A ilha de Jersey é considerada um paraíso fiscal .","A empresa também é suspeita de manter contas em paraísos fiscais através da M - Cor Holding ."
"pastor alemão","Pit Bulls , Rottweilers e pastores alemães também apresentam maior incidência de displasia coxo - femural .","Quando voltou aos Estados Unidos , ele trouxe um pastor alemão chamado Buddy .","As raças analisadas são , entre outras , o Golden Retriever e o pastor alemão para o câncer ."
"pau-mandado","Este pau-mandado dos poderosos da Europa , este borra - botas pensa que já o esquecemos ?","Como um bom pau-mandado , ele entregou as imensas riquezas de mineração e petróleo congolesas a corporações multinacionais .","A cidade não precisa de um pau-mandado dos governos federal ou estadual para se sentir segura em esse processo ."
"pavio curto","É conhecido por seu pavio curto e comportamento agressivo .","De pavio curto , admitiu que não tinha talento para obedecer ordens .","sent3: (['# MWETOOLKIT: meta.doc.id=""netb-d0cb4""', '# MWETOOLKIT: meta.doc.title=""NATAL EM PAUTA: 2014-03-09""', '# MWETOOLKIT: meta.doc.source=""http://natalempauta.blogspot.com.br/2014_03_09_archive.html""'], 406)"
"pé quente","Espero confirmar lá no final do campeonato esta fama de pé quente .","O pé quente Cláudio Assis é , no Brasil , um recordista de prêmios .","Sou pé quente e gosto de vestir a camisa do time em que estou jogando ."
"pé-direito","Considera - se pé-direito a altura compreendida entre o piso e o forro acabados .","Tijolos aparentes , pé-direito alto e decoração moderna e bonitinha .","Todos os ambientes terão pé-direito duplo ."
"pé-frio","Pé-frio é pouco para definir certos graus de azar inexplicáveis .","Após perder duas copas do mundo no comando da seleção brasileira de futebol , amargou por muito tempo a fama de pé-frio .","Ganhou até uma fama de "" pé-frio "" , por ter alguns rebaixamentos em seu currículo obviamente , folclore ."
"pente fino","Nós agora temos que fazer uma operação pente fino .","Após um pente fino , a CGU apurou que a licitação para oito rotas foi forjada .","A Nature usa o método de amostragem , escolhendo um trabalho por edição para o pente fino ."
"peso morto","Mas além do peso morto eles geram outro desperdício .","Uma entidade , a paróquia , parecia ter se tornado um peso morto e inútil .","Muitos fracassam na vida e se tornam pesos mortos , porque não se dão conta de isso ."
"planta baixa","Finalizaremos a planta baixa do pavimento inferior .","Exercício : desenhar a planta baixa da figura abaixo na escala de 1 : 50 .","Por - que não faz a planta baixa de seu espaço de trabalho e projeta da forma que lhe for mais confortável ?"
"poção mágica","Para ser feliz não existe poção mágica .","De manhã , beba em jejum essa magnífica poção mágica de força e bem - estar .","Ela usou uma poção mágica para transportá - lo , enquanto ele dormia ."
"pólo-aquático","Filho de brasileiros , ele foi vice - campeão olímpico de pólo-aquático pelos Estados Unidos em Pequim .","O pólo-aquático também faz parte do quadro de desportos dos jogos olímpicos .","Os atletas amadores preferem utilizar o lago para natação ou um jogo de pólo-aquático ."
"ponto cego","Estes aparelhos simulam o movimento natural das ondas permitindo evitar pontos cegos .","Já no trânsito , a precariedade visual provoca excesso de pontos cegos .","Cabe então nos perguntarmos : quais são os pontos cegos da nossa ciência de hoje ?"
"ponto forte","sent1: (['# MWETOOLKIT: meta.doc.id=""nett-113b84""', '# MWETOOLKIT: meta.doc.title=""Blog de Decoração | Encantada: Carreira & Negócios""', '# MWETOOLKIT: meta.doc.source=""http://www.encantadahome.com.br/search/label/Carreira%20&%20Neg%C3%B3cios%20""'], 58)","Ambas tem pontos fortes e fracos .","Todos nós temos pontos fortes e fragilidades ."
"ponto fraco","O projeto era simétrico , sem pontos fracos .","E para reconhecer pontos fracos é necessário muita maturidade .","Descubra o que seus clientes valorizam e quais são seus pontos fracos ."
"prato feito","Escolhemos o prato feito por R$ 15 , 00 .","Se você for comer na rua o prato típico é o Tali , que em Hindi quer dizer prato feito .","Só tinha um cara , que eu saquei que devia ser o zelador , comendo um prato feito , sentado perto de uma das janelas ."
"primeira infância","Isso se desenvolve desde a primeira infância .","Da minha primeira infância só tenho lembranças felizes .","Apavorei - me com o tema : diversidade sexual na primeira infância ."
"primeira mão","Lembram que este blog deu em primeira mão que a Procuradoria Geral da República tinha publicado um site explicando o Mensalão para as crianças ?","sent2: (['# MWETOOLKIT: meta.doc.id=""netg-1697b0""', '# MWETOOLKIT: meta.doc.title=""Assombrado pelo crack - Viomundo - O que você não vê na mídia""', '# MWETOOLKIT: meta.doc.source=""http://www.viomundo.com.br/bau/assombrado-pelo-crack.html""'], 64)","Matilde tinha caído depois que o Coturno Noturno denunciou , em primeira mão , as suas compras no Duty Free com dinheiro público ."
"primeira necessidade","Na ordem de prioridade dos usos da água , essa é a primeira necessidade a ser atendida .","Os proprietários dos imóveis poderão usar das águas do aqueduto para as primeiras necessidades da vida .","O possuidor do imóvel superior não poderá poluir as águas indispensáveis às primeiras necessidades da vida dos possuidores dos imóveis inferiores ."
"primeira-dama","Foram padrinhos o prefeito e a primeira-dama de Patrocínio Paulista .","Jorginho conta que Luviana é uma primeira-dama com jeito de primeira ministra .","Siqueira deve viajar o nordeste em companhia da primeira-dama . . ."
"primeiro ministro","Sócrates foi um péssimo primeiro ministro ?","Considere - se o primeiro ministro britânico David Cameron .","Tancredo Neves abriu a lista de primeiros ministros ."
"primeiro plano","Um primeiro plano mostra a tensão de seu semblante .","sent2: (['# MWETOOLKIT: meta.doc.id=""netg-689e""', '# MWETOOLKIT: meta.doc.title=""Estudar Arte e Design [de Interiores]: lighting design""', '# MWETOOLKIT: meta.doc.source=""http://estudosdedesign.blogspot.com.br/search/label/lighting%20design""'], 169)","O sentido da sua vida ficou em primeiro plano ."
"príncipe encantado","Elas ainda são criadas para acreditar no príncipe encantado .","Eu nunca esperei um príncipe encantado pelo contrário , sempre achei os sapos mais interessantes !","As moças assistiam ao filme Sissi a imperatriz e sonhavam com o príncipe encantado ."
"processo seletivo","Processo seletivo inclui entrevista pessoal .","As inscrições para o processo seletivo são gratuitas .","sent3: (['# MWETOOLKIT: meta.doc.id=""net-74a464""', '# MWETOOLKIT: meta.doc.title=""ATUALIDADES: Jos� Serra assina decreto que cria universidade de EAD | Universit�rio | Not�cias""', '# MWETOOLKIT: meta.doc.source=""http://www.universitario.com.br/noticias/n.php?i=5831""'], 24)"
"pronto-socorro","Há crianças que chegam esqueléticas ao pronto-socorro .","A explosão acabou com 18 hospitais e 32 postos de pronto-socorro .","Além disso , diariamente pessoas chegam no pronto-socorro com ferimentos de bala ."
"puro-sangue","A paixão é como um legítimo cavalo puro-sangue .","Que fazer se os outros cavalos grandes e puros-sangues tinham toda a prioridade ?","Acredita - se que seja o antecessor do cavalo árabe e de outros puros-sangues ."
"quadro-negro","O primeiro cardápio da rede era escrito em um quadro-negro .","Quando muito diríamos que só são entes de giz no quadro-negro .","Mário taca um giz em Suzana , enquanto ela escreve no quadro-negro ."
"queda livre","De facto o PIB grego permaneceu em uma queda livre ininterrupta .","Jovens curtindo a adrenalina da queda livre em direção ao abismo .","Mesmo o preço no mercado europeu tem estado em queda livre !"
"quinta categoria","Somos um carro novo rodando a todo vapor com combustível de quinta categoria .","Acabou o capítulo de "" Amor e Revolução "" , um folhetim de quinta categoria .","Espetáculo de quinta categoria com produção onerosa para o bolso do contribuinte ."
"rede social","Veja as redes sociais como Facebook .","O Twitter não é uma rede social .","As redes sociais são os sites mais acessados ."
"regime político","A democracia é o seu regime político .","O absolutismo foi abolido em favor do regime político liberal .","Os gregos distinguiam três regimes políticos : monarquia , aristocracia e democracia ."
"relógio analógico","Vem com formas coloridas e relógio analógico .","A leitura de um relógio analógico em ângulo muda de acordo com a posição de quem lê .","Engastes de alumínio escovado nas portas e volante dão uma dose extra de requinte ao interior do modelo , assim como o generoso relógio analógico no centro do console ."
"relógio biológico","sent1: (['# MWETOOLKIT: meta.doc.id=""netb-2eae89""', '# MWETOOLKIT: meta.doc.title=""VENCENDO A INS�NIA : PARA DORMIR DESCANSADO""', '# MWETOOLKIT: meta.doc.source=""http://www.recantodasletras.com.br/mensagensreligiosas/3188095""'], 39)","sent2: (['# MWETOOLKIT: meta.doc.id=""netb-2e29fe""', '# MWETOOLKIT: meta.doc.title=""Homem de Neandertal, Extin��o, Peso, Hist�ria Homem de Neandertal""', '# MWETOOLKIT: meta.doc.source=""http://www.portalsaofrancisco.com.br/alfa/homem-de-neandertal/index.php""'], 74)","A melatonina é a chave que controla o relógio biológico do ser humano ."
"reta final","Estávamos na reta final de provas .","Foram nove partidas sem derrota na reta final .","Isto tudo às vésperas da reta final da competição ."
"roda gigante","São rodas gigante , trens de ferro , carrosséis .","A mais nova roda gigante de Londres provou ser um sucesso imediato .","A London Eye entrou para o Guinness , como a maior roda gigante do mundo ."
"roleta russa","De rejeição as eleições em São Paulo viraram uma espécie de roleta russa .","É uma roleta russa com todas as balas no revólver , feita pelos partidos .","São duas horas de risadas , choros , nervosismo e uma roleta russa de emoções e sentimentos ."
"saia justa","Que saia justa , muito constrangida tive que recusar .","sent2: (['# MWETOOLKIT: meta.doc.id=""netb-178cdc""', '# MWETOOLKIT: meta.doc.title=""março, 2008 | Castiel""', '# MWETOOLKIT: meta.doc.source=""http://wp.clicrbs.com.br/castiel/2008/03/?topo=67,2,18,,,67""'], 10)","De essa vez , o presidente norte - americano foi alvo de diversas insatisfações e saias justas ."
"sala cirúrgica","Em essas instituições , leitos e salas cirúrgicas estão subutilizados .","Os primeiros estudantes da faculdade de medicina estagiaram em seus ambulatórios e salas cirúrgicas .","Serão 100 novos leitos , 10 salas cirúrgicas , 10 CTIs e mais espaço para hemodiálise eletiva ."
"salão paroquial","Os salões paroquiais são importantes centros de decisão informal .","Lá íamos nós para os salões paroquiais , as igrejas , os clubes .","Este prédio , que é o salão paroquial foi idealizado pelo padre Edir , já falecido ."
"sangue azul","Pelo menos no marketing , Sir Richard Branson tem sangue azul : ele é o rei do marketing .","Ainda mais curioso , Washington não fora o único presidente americano a ter sangue azul .","É o espírito nobre das pessoas , o chamado "" sangue azul "" , o poder de liderança ."
"sangue frio","Assassinado em estilo de execução a sangue frio .","O assassinato de 11 deputados colombianos a sangue frio !","Carminha não mataria a sangue frio o homem que amava ."
"sangue quente","Sim , ele tem o sangue quente espanhol !","A hispânia é um local cheio de pessoas de sangue quente e turistas .","Não , tem de reclamar agora , com o sangue quente mesmo , isso é um absurdo !"
"secretária eletrônica","Não há emails na caixa de entrada , não há recados na secretária eletrônica e mesmo assim , você entende a mensagem .","Finja ser uma secretária eletrônica , do pior jeito que você conseguir para ele perceber que está falando com um louco .","Ser breve , não abusar das ligações pessoais e responder às mensagens na secretária eletrônica no prazo máximo de 24 horas"
"segundas intenções","Não tem malícia e muito menos segundas intenções .","Ele manda uma cartinha meio sacana , cheia de segundas intenções .","Padre com má - fé e com segundas intenções é duro de engolir ."
"segundo plano","Para Júlio , tudo o mais estava em segundo plano .","A obediência está sendo relegada a segundo plano .","Os aspectos táticos e técnicos ficaram em segundo plano ."
"sentença judicial","Em 2004 saiu uma sentença judicial favorável aos moradores .","A indenização deverá ser determinada por sentença judicial .","O valor inclui vencimentos , encargos sociais e pagamentos de sentenças judiciais ."
"sétima arte","Devo sem dúvida a essa precocidade cinéfila minha paixão pela sétima arte .","Como já disseram , o filme não é o supra sumo da sétima arte .","Esta cena é reverenciada hoje como um dos grandes momentos da sétima arte ."
"sexto sentido","sent1: (['# MWETOOLKIT: meta.doc.id=""netg-1def22""', '# MWETOOLKIT: meta.doc.title=""Saber-Literário: 01/04/08 - 01/05/08""', '# MWETOOLKIT: meta.doc.source=""http://saber-literario.blogspot.com.br/2008_04_01_archive.html""'], 261)","O sexto sentido é a percepção do outro energicamente .","E através da intuição , desenvolvendo o sexto sentido e a plenitude do amor e da compaixão ."
"sinal verde","Agora , basta o sinal verde da prefeitura em questão .","Rony deu sinal verde para o combate .","Em seguida , a justiça francesa dá sinal verde para a extradição ."
"sistema político","E um sistema político corrupto e clientelista .","É de todos os partidos do sistema político brasileiro .","sent3: (['# MWETOOLKIT: meta.doc.id=""netb-2e28f0""', '# MWETOOLKIT: meta.doc.title=""Francisco Franco, General, Pol�tico, Vida Francisco Franco""', '# MWETOOLKIT: meta.doc.source=""http://www.portalsaofrancisco.com.br/alfa/francisco-franco/francisco-franco.php""'], 27)"
"tapete vermelho","Claro que eles arrasaram no tapete vermelho .","Além disso , Daniel Cardoso fará as entrevistas direto do tapete vermelho .","O canal TNT também está transmitindo direto do tapete vermelho ."
"tartaruga-marinha","Conhecer as características principais da tartaruga-marinha e da baleia jubarte .","Continuação da aventura da tartaruga-marinha Sammy , que é capturada por humanos e levada para um aquário submarino .","Os ambientalistas optaram por realizar passeatas multicoloridas , vestidos de tartaruga-marinha ."
"tela plana","sent1: (['# MWETOOLKIT: meta.doc.id=""netab-103d3""', '# MWETOOLKIT: meta.doc.title=""Estela Benetti » 2012 » julho""', '# MWETOOLKIT: meta.doc.source=""http://wp.clicrbs.com.br/estelabenetti/2012/07/?topo=67%2C2%2C18%2C%2C%2C67""'], 227)","Novos monitores de tela plana foram usados , usando menos espaço e deixando a ponte com um visual mais limpo .","Hoje ela tem tv de tela plana , dvd e máquina de lavar roupas ."
"tempo real","Acompanhe as projeções em tempo real .","É um monitoramento em tempo real .","Colaboração em tempo real com outros utilizadores ;"
"terceira idade","Criaram - se creches e centros de terceira idade .","Empresa fabrica produtos ortopédicos para a terceira idade .","Vi até uma senhora de terceira idade de triciclo ."
"terceira pessoa","O Guimarães Rosa se tratava na terceira pessoa .","E você pode alternar entre primeira e terceira pessoa .","Um exemplo de história em terceira pessoa é o Grande Gatsby de F . Scott Fitzgerald ."
"tiro livre","sent1: (['# MWETOOLKIT: meta.doc.id=""netb-a616e""', '# MWETOOLKIT: meta.doc.title=""Jornalheiros: Agosto 2012""', '# MWETOOLKIT: meta.doc.source=""http://jornalheiros.blogspot.com.br/2012_08_01_archive.html""'], 155)","Todos os tiros livres são diretos e sem barreira da equipe adversária .","Renan cobrou o tiro livre na trave e desperdiçou ótima oportunidade de marcar ."
"trabalho braçal","Entre uma idéia e sua realização existe o trabalho braçal .","Avessos a trabalhos braçais , os americanos deixam o serviço perigoso para imigrantes .","Os que fazem trabalho braçal ao ar livre , talvez não necessitem de mais exercícios ."
"trabalho escravo","As fundações foram , igualmente , construídas por trabalho escravo .","A expropriação de propriedades onde for encontrado trabalho escravo .","Utilizam - se muito deles para promover trabalho escravo ."
"vaca louca","Depois surgiram a doença da vaca louca e a gripe do frango .","E pela ingestão de carne contaminada pela doença da vaca louca .","A doença da vaca louca apareceu quando o gado foi obrigado a se canibalizar ."
"vinho branco","Pra beber , vinho branco .","Prosecco nada mais é que tipo de vinho branco espumante .","Ponha meio copo de vinho branco seco e deixe evaporar ."
"vinho tinto","Combina perfeitamente com vinho tinto Pinot Noir .","Frutas vermelhas marinadas no vinho tinto .","Se você comprou um queijo menos maduro , escolha um vinho tinto encorpado ."
"vista grossa","O governo fez vista grossa e deixou a coisa rolar .","sent2: (['# MWETOOLKIT: meta.doc.id=""net-18b1c7""', '# MWETOOLKIT: meta.doc.title=""Julio Severo: crítica""', '# MWETOOLKIT: meta.doc.source=""http://juliosevero.blogspot.com.br/search/label/cr%C3%ADtica""'], 152)","Não faça vista grossa para crimes , por menores que sejam ."
"viva voz","Esses convidados nem sempre podem participar de viva voz ;","sent2: (['# MWETOOLKIT: meta.doc.id=""netb-71b30""', '# MWETOOLKIT: meta.doc.title=""Em defesa da Santa Fé: Setembro 2011""', '# MWETOOLKIT: meta.doc.source=""http://emdefesadasantafe.blogspot.com.br/2011_09_01_archive.html""'], 559)","Desafio qualquer pessoa a dizer que eu recomendei voto no Serra , que recomendei por escrito ou de viva voz o voto no Serra ."
"vôo doméstico","O aeroporto internacional oferece vôos domésticos , europeus e transatlânticos .","O site tem uma lista de todos os vôos domésticos e internacionais , duração e preços .","Os vôos domésticos são normalmente de Sydney , Melbourne , Brisbane , Adelaide e Perth ."
"vôo internacional","A agência nacional de vigilância sanitária tem como localizar quem viajou com os doentes , pois vinha recolhendo as guias de declaração de bagagens em vôos internacionais .","A Pan - Am , outra gigante , só operava vôos internacionais .","Esse destino se acrescenta a malha de voos internacionais da TAM ."
"voto secreto","As eleições são realizadas por voto secreto .","sent2: (['# MWETOOLKIT: meta.doc.id=""net-20e7d0""', '# MWETOOLKIT: meta.doc.title=""Educação e Segurança: Novembro 2010""', '# MWETOOLKIT: meta.doc.source=""http://papainoelpv43125.blogspot.com.br/2010_11_01_archive.html""'], 338)","O voto secreto era de absoluta necessidade , assim como o voto feminino ."
